Square,Total Weight,Weight/2,Weight/mL,ug/L,Al,Al_Percent,Al_ppb,Cr,Cr_Percent,Cr_ppb,Cu,Cu_Percent,Cu_ppb,Fe ,Fe_Percent,Fe_ppb,Pb,Pb_Percent,Pb_ppb,Ni,Ni_Percent,Ni_ppb,Zn,Zn_Percent,Zn_ppb,HW_Int
7,202.2,101.1,12.6375,12637500,47941,0.379355094,3793554.229,5793,0.045839763,458424.5915,370,0.002927794,29309.74692,116195,0.919446093,9194427.522,895,0.007082097,70788.08121,822,0.006504451,65080.52974,12524,0.099101879,991036.9844,Y
8,126.35,63.175,6.3175,6317500,6718,0.106339533,1063418.693,27725,0.438860309,4388574.557,269,0.004258013,42550.39547,114272,1.808816779,18088240.68,53,0.000838939,8343.578917,8778,0.138947368,1389508.688,796,0.012599921,125922.5647,Y
11,30.2,15.1,2.51667,2516670,18381,0.730369894,7303643.19,5949,0.236383793,2363959.901,175,0.006953633,69717.6949,43864,1.742938089,17429254.21,161,0.006397343,64143.53399,2904,0.115390576,1153869.504,1092,0.043390671,434016.404,N
12,129.13,64.565,4.96654,4966540,14020,0.282289079,2822958.865,709,0.014275532,142783.4369,153,0.003080615,30798.54747,37053,0.746052584,7460497.657,3734,0.075183125,751747.5811,176,0.003543715,35346.85346,2094,0.042162149,421625.6763,N
13,97.14,48.57,4.857,4857000,4519,0.093040972,930397.4977,230,0.004735433,47304.05584,155,0.00319127,31956.76589,21092,0.434259831,4342529.436,95,0.00195594,19607.87605,69,0.00142063,14164.97613,1028,0.021165328,211601.4311,N
18,53.18,26.59,3.32375,3323750,4786,0.143993983,1439852.581,173,0.005204964,51910.01127,121,0.003640466,36380.76816,16377,0.492726589,4927216.854,81,0.002437006,24303.66404,101,0.003038736,30348.92856,787,0.023678074,236844.1718,N
20,31.5,15.75,2.625,2625000,6475,0.246666667,2466721.512,293,0.011161905,111471.4054,267,0.010171429,101813.2843,17023,0.648495238,6484850.21,66,0.002514286,25029.55123,59,0.002247619,22397.76568,1403,0.053447619,534303.3362,N
21,52.68,26.34,4.39,4390000,31110,0.708656036,7086592.613,688,0.015671982,156626.3877,80,0.001822323,18131.74323,52763,1.201890661,12019018.32,102,0.002323462,23329.40305,155,0.003530752,35222.87828,512,0.01166287,116674.4924,N
31,80.11,40.055,4.0055,4005500,2142,0.05347647,534866.2835,19730,0.492572713,4925782.582,145,0.003620022,36221.7334,95430,2.382474098,23824704.3,23,0.00057421,5673.467748,6634,0.165622269,1656277.369,261,0.00651604,65087.54357,N
40,12.65,6.325,1.05417,1054170,3135,0.297390364,2973972.346,96,0.009106691,90613.66498,41,0.003889316,38790.18804,3378,0.320441674,3204728.794,60,0.005691682,56929.24154,55,0.005217375,52263.14375,668,0.063367389,634131.4469,Y
41,21.92,10.96,1.096,1096000,2047,0.186770073,1867693.405,12483,1.138959854,11389516.84,124,0.011313869,113125.4332,46600,4.251824818,42518236.6,65,0.005930657,58896.17796,3721,0.339507299,3394952.673,224,0.020437956,204678.6457,Y
42,30.43,15.215,1.5215,1521500,4483,0.294643444,2946421.455,23828,1.566086099,15660626.39,177,0.011633257,116335.6956,81384,5.348931975,53489279.87,127,0.008347026,83443.15712,6081,0.399671377,3996580.904,284,0.01866579,186390.7064,Y
43,15.24,7.62,0.762,762000,615,0.080708661,807019.3887,5531,0.725853018,7258172.364,73,0.009580052,95564.26657,18265,2.396981627,23969538.81,43,0.005643045,56348.863,1092,0.143307087,1432742.87,274,0.035958005,359237.5197,Y
55,23.64,11.82,1.4775,1477500,7741,0.52392555,5239558.036,185,0.012521151,124969.0719,120,0.008121827,81218.62337,6440,0.435871404,4358553.139,40,0.002707276,26984.16338,458,0.030998308,310214.7126,491,0.03323181,332545.9079,Y
56,60.51,30.255,3.78188,3781880,8964,0.237024972,2370289.82,171,0.004521561,45200.38668,131,0.003463886,34580.47861,17520,0.463261658,4632571.998,155,0.004098491,40922.19641,150,0.003966281,39711.26767,1126,0.029773552,297673.7866,Y
57,56.44,28.22,3.5275,3527500,14844,0.420807938,4208196.151,139,0.003940468,39473.52548,210,0.005953225,59411.73178,27348,0.775279943,7752752.075,240,0.006803685,68174.91461,184,0.005216159,52120.77301,1505,0.042664777,426710.616,Y
58,39.89,19.945,1.66208,1662080,12858,0.773608972,7735825.753,140,0.008423181,84281.86269,107,0.006437717,64656.57933,18760,1.128706199,11287304.54,99,0.005956392,59727.96221,166,0.009987486,99897.05143,873,0.052524548,525226.7138,Y
59,136.54,68.27,6.827,6827000,60252,0.882554563,8825586.881,219,0.003207851,32122.41751,384,0.005624725,56282.76934,97197,1.423714662,14237146.83,613,0.008979054,89793.43928,147,0.002153215,21567.50009,3188,0.046696939,466998.2993,Y
70,49.06,24.53,3.06625,3066250,17862,0.582535671,5825343.407,395,0.012882185,128964.7795,168,0.005479005,54886.67524,41246,1.345161027,13451521.97,301,0.009816551,98054.56794,98,0.003196086,32039.55206,2002,0.06529148,653056.0652,Y
71,178.91,89.455,6.38964,6389640,68278,1.068573503,10685753.94,6666,0.104325126,1043273.505,288,0.004507296,45078.48927,127921,2.002006373,20020016.86,359,0.00561847,56235.08687,507,0.007934719,79309.93821,3629,0.056795062,568028.3061,Y
72,17.76,8.88,0.63429,634290,8227,1.297040786,12969978.17,263,0.041463684,415124.9815,112,0.017657538,177059.1477,19258,3.036150657,30361401.07,73,0.011508931,115180.1916,71,0.011193618,112260.3837,1911,0.301281748,3012989.884,Y
73,86.92,43.46,5.4325,5432500,38119,0.701684307,7016810.116,339,0.006240221,62342.88609,151,0.002779567,27748.33985,58338,1.073870225,10738644.8,338,0.006221813,62236.31079,129,0.002374597,23793.59409,1633,0.030059825,300521.8834,Y
