"","Square","Neighborhood","Weight","AlDay","AlWeb","FeDay","FeWeb","PbDay","PbWeb","NB","Total.Weight","Weight.2","Weight.mL","ug.L","Al","Al_Percent","Al_ppb","Cr","Cr_Percent","Cr_ppb","Cu","Cu_Percent","Cu_ppb","Fe","Fe_Percent","Fe_ppb","Pb","Pb_Percent","Pb_ppb","Ni","Ni_Percent","Ni_ppb","Zn","Zn_Percent","Zn_ppb","HW_Int"
"1",7,"BK",1.66,0.00158025066666667,0.0426667666666667,0.003444954,0.09301375,0.000736492666666667,0.0198853,"BK",202.2,101.1,12.6375,12637500,47941,0.379355423,3793554.229,5793,0.045842459,458424.5915,370,0.002930975,29309.74692,116195,0.919442752,9194427.522,895,0.007078808,70788.08121,822,0.006508053,65080.52974,12524,0.099103698,991036.9844,"Y"
"2",8,"BK",0.18,0.002427633,0.0655461,NA,NA,NA,NA,"BK",126.35,63.175,6.3175,6317500,6718,0.106341869,1063418.693,27725,0.438857456,4388574.557,269,0.00425504,42550.39547,114272,1.808824068,18088240.68,53,0.000834358,8343.578917,8778,0.138950869,1389508.688,796,0.012592256,125922.5647,"Y"
"3",12,"BK",7.03,0.0017426466,0.04705146,0.003854237,0.1040644,6.6352e-05,0.00179143333333333,"BK",129.13,64.565,4.96654,4966540,14020,0.282295887,2822958.865,709,0.014278344,142783.4369,153,0.003079855,30798.54747,37053,0.746049766,7460497.657,3734,0.075174758,751747.5811,176,0.003534685,35346.85346,2094,0.042162568,421625.6763,"N"
"4",13,"BK",1.43,0.0013644225,0.0368394,0.00591387,0.1596745,7.9272e-05,0.0021405,"BK",97.14,48.57,4.857,4857000,4519,0.09303975,930397.4977,230,0.004730406,47304.05584,155,0.003195677,31956.76589,21092,0.434252944,4342529.436,95,0.001960788,19607.87605,69,0.001416498,14164.97613,1028,0.021160143,211601.4311,"N"
"5",18,"BK",5.19,0.0153967365,0.3387282,0.00792990766666667,0.174457966666667,0.0001629705,0.00358535,"BK",53.18,26.59,3.32375,3323750,4786,0.143985258,1439852.581,173,0.005191001,51910.01127,121,0.003638077,36380.76816,16377,0.492721685,4927216.854,81,0.002430366,24303.66404,101,0.003034893,30348.92856,787,0.023684417,236844.1718,"N"
"6",20,"BK",2.49,0.0009770045,0.0214941,0.0003904385,0.00858965,0.000311341,0.00684995,"BK",31.5,15.75,2.625,2625000,6475,0.246672151,2466721.512,293,0.011147141,111471.4054,267,0.010181328,101813.2843,17023,0.648485021,6484850.21,66,0.002502955,25029.55123,59,0.002239777,22397.76568,1403,0.053430334,534303.3362,"N"
"7",21,"BK",22.61,0.000860229,0.01892504,0.000174019666666667,0.00382843333333333,8.8253e-05,0.0019419,"BK",52.68,26.34,4.39,4390000,31110,0.708659261,7086592.613,688,0.015662639,156626.3877,80,0.001813174,18131.74323,52763,1.201901832,12019018.32,102,0.00233294,23329.40305,155,0.003522288,35222.87828,512,0.011667449,116674.4924,"N"
"8",31,"BK",45.09,0.0005069836,0.01115364,0.0013312546,0.0292876,0.0003651436,0.00803304,"BK",80.11,40.055,4.0055,4005500,2142,0.053486628,534866.2835,19730,0.492578258,4925782.582,145,0.003622173,36221.7334,95430,2.38247043,23824704.3,23,0.000567347,5673.467748,6634,0.165627737,1656277.369,261,0.006508754,65087.54357,"N"
"9",41,"BK",30.61,0.0006768116,0.01488986,0.0005735426,0.01261784,0.016449471,0.36188836,"BK",21.92,10.96,1.096,1096000,2047,0.186769341,1867693.405,12483,1.138951684,11389516.84,124,0.011312543,113125.4332,46600,4.25182366,42518236.6,65,0.005889618,58896.17796,3721,0.339495267,3394952.673,224,0.020467865,204678.6457,"Y"
"10",42,"BK",6.39,0.0021459972,0.04721194,0.00429990733333333,0.0945979666666667,0.00025899325,0.0056977,"BK",30.43,15.215,1.5215,1521500,4483,0.294642145,2946421.455,23828,1.566062639,15660626.39,177,0.01163357,116335.6956,81384,5.348927987,53489279.87,127,0.008344316,83443.15712,6081,0.39965809,3996580.904,284,0.018639071,186390.7064,"Y"
"11",43,"BK",2.42,0.0114963,0.2529186,0.0010497205,0.02309385,0.00024451475,0.005379525,"BK",15.24,7.62,0.762,762000,615,0.080701939,807019.3887,5531,0.725817236,7258172.364,73,0.009556427,95564.26657,18265,2.396953881,23969538.81,43,0.005634886,56348.863,1092,0.143274287,1432742.87,274,0.035923752,359237.5197,"Y"
"12",55,"BK",3.57,0.0008551955,0.0188143,0.0023106795,0.05083495,0.000257232,0.0056589,"BK",23.64,11.82,1.4775,1477500,7741,0.523955804,5239558.036,185,0.012496907,124969.0719,120,0.008121862,81218.62337,6440,0.435855314,4358553.139,40,0.002698416,26984.16338,458,0.031021471,310214.7126,491,0.033254591,332545.9079,"Y"
"13",56,"BK",55.22,0.001116577,0.0245648333333333,0.000185941,0.00409055,8.25385e-05,0.0018156,"BK",60.51,30.255,3.78188,3781880,8964,0.237028982,2370289.82,171,0.004520039,45200.38668,131,0.003458048,34580.47861,17520,0.4632572,4632571.998,155,0.00409222,40922.19641,150,0.003971127,39711.26767,1126,0.029767379,297673.7866,"Y"
"14",57,"BK",27.52,0.000701453833333333,0.0154319833333333,0.000396177333333333,0.0087159,0.0008645225,0.0190195,"BK",56.44,28.22,3.5275,3527500,14844,0.420819615,4208196.151,139,0.003947353,39473.52548,210,0.005941173,59411.73178,27348,0.775275207,7752752.075,240,0.006817491,68174.91461,184,0.005212077,52120.77301,1505,0.042671062,426710.616,"Y"
"15",58,"BK",1.13,0.001992384,0.04383245,0.000402018,0.0088444,0.0002964205,0.00652125,"BK",39.89,19.945,1.66208,1662080,12858,0.773582575,7735825.753,140,0.008428186,84281.86269,107,0.006465658,64656.57933,18760,1.128730454,11287304.54,99,0.005972796,59727.96221,166,0.009989705,99897.05143,873,0.052522671,525226.7138,"Y"
"16",59,"BK",17.11,0.00129995766666667,0.0285990666666667,0.000726265,0.0159778333333333,0.000699268,0.0153839,"BK",136.54,68.27,6.827,6827000,60252,0.882558688,8825586.881,219,0.003212242,32122.41751,384,0.005628277,56282.76934,97197,1.423714683,14237146.83,613,0.008979344,89793.43928,147,0.00215675,21567.50009,3188,0.04669983,466998.2993,"Y"
"17",70,"BK",2.29,0.157459738,3.46411423333333,0.001469036,0.0323188,0.002443186,0.0537501,"BK",49.06,24.53,3.06625,3066250,17862,0.582534341,5825343.407,395,0.012896478,128964.7795,168,0.005488668,54886.67524,41246,1.345152197,13451521.97,301,0.009805457,98054.56794,98,0.003203955,32039.55206,2002,0.065305607,653056.0652,"Y"
"18",71,"BK",96.6,0.000716704666666667,0.0157675,0.000679963333333333,0.0149592,0.000748901333333333,0.0164758333333333,"BK",178.91,89.455,6.38964,6389640,68278,1.068575394,10685753.94,6666,0.104327351,1043273.505,288,0.004507849,45078.48927,127921,2.002001686,20020016.86,359,0.005623509,56235.08687,507,0.007930994,79309.93821,3629,0.056802831,568028.3061,"Y"
"19",72,"BK",3.88,0.001252718,0.0275598,0.00793415,0.1745513,8.87363333333333e-05,0.00195203333333333,"BK",17.76,8.88,0.63429,634290,8227,1.296997817,12969978.17,263,0.041512498,415124.9815,112,0.017705915,177059.1477,19258,3.036140107,30361401.07,73,0.011518019,115180.1916,71,0.011226038,112260.3837,1911,0.301298988,3012989.884,"Y"
"20",73,"BK",16.64,0.0159319713333333,0.350503366666667,0.000676018,0.0148724,0.001608025,0.03537655,"BK",86.92,43.46,5.4325,5432500,38119,0.701681012,7016810.116,339,0.006234289,62342.88609,151,0.002774834,27748.33985,58338,1.07386448,10738644.8,338,0.006223631,62236.31079,129,0.002379359,23793.59409,1633,0.030052188,300521.8834,"Y"
